"DAL TRAMONTO ALL’ALBA ⚭ (con VENERUS & GEMITAIZ)","MACE","OBE","le mie hit e recenti","Playlist","ITUM72001374","3fuoMMj6O5JEclolfpmtmp"
"BUONANOTTE ❈ (con NOYZ NARCOS, FRANCO126 & SIDE BABY)","MACE","OBE","le mie hit e recenti","Playlist","ITUM72001375","70im6fWHD1m7VQve5I6Yim"
"CANDYMAN ༄ (con GEMITAIZ)","MACE","OBE","le mie hit e recenti","Playlist","ITUM72001378","5pPpb37zluVG1TOz1eBExW"
"Notti In Bianco","BLANCO","Notti In Bianco","le mie hit e recenti","Playlist","ITUM72000788","38UoVEHcZ85EGBo6k79643"
"DIO NON É SORDO ལྷ (con IZI, JACK THE SMOKER & JAKE LA FURIA)","MACE","OBE","le mie hit e recenti","Playlist","ITUM72001388","7BN8PtxIEZLI1DSH6YzVSJ"
"Farfalla","Il Tre","ALI","le mie hit e recenti","Playlist","ITQ002000612","0SdGH8aPbgeNPQ3mrJJyVJ"
"Per chi non ha un posto in questo mondo","Il Tre","ALI","le mie hit e recenti","Playlist","ITQ002000604","5ZNDKquKUMX8ROZsHM9h5l"
"BUGIE","Massimo Pericolo","BUGIE","le mie hit e recenti","Playlist","ITRWL2000094","3poh4OWmbULDrXRjiwFZUK"
"SENZA FIATO ཀརྨ (con VENERUS & JOAN THIELE)","MACE","OBE","le mie hit e recenti","Playlist","ITUM72001381","0H5tubrS0IuLTuqvNDQSiU"
"Paraocchi","BLANCO","Paraocchi","le mie hit e recenti","Playlist","ITUM72100148","3c1hhyuDTsP3hqRztpg2S5"
"Bene","Gemitaiz","Nonostante Tutto","le mie hit e recenti","Playlist","ITDF41500002","3Jfi1WRHzREEGBDsaCrIXD"
"AIRFORCE (feat. Madame)","Massimo Pericolo","SOLO TUTTO","le mie hit e recenti","Playlist","ITRWL2000090","4MTlIhliwFJnTfbEoctDyB"
"DIMMI ORA (feat. Guè Pequeno)","Madame","MADAME","le mie hit e recenti","Playlist","ITZ042100007","1bXG3X6C0xiopzlsRdCxda"
"Non Mi Fido","Side Baby","Non Mi Fido","le mie hit e recenti","Playlist","ITUM71901473","3peOFu7a5f0bez49JI6DDa"
"Outro In The Night","Gemitaiz","QVC9 - QUELLO CHE VI CONSIGLIO VOL. 9","le mie hit e recenti","Playlist","ITDF42000026","4GipSOvgko6Twojx9zE3QE"
"Angelina Jolie","Bresh","Angelina Jolie","le mie hit e recenti","Playlist","ITB002100150","0tD4EXZRm1JGDYWtKYFLWK"
